,#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Funding
1068,2630,Dropbox,San Francisco Bay Area,USA,North America,315,2021-01-13,15.0,2100,1785,Other,Post-IPO,$1700,2021,37.77493,-122.41942,1700.0
1069,2635,Breather,Montreal,Canada,North America,120,2020-12-16,80.0,150,30,Real Estate,Series D,$131,2020,45.50884,-73.58781,131.0
1070,2639,Aya,Toronto,Canada,North America,5,2020-11-19,25.0,20,15,Finance,Seed,$3,2020,43.70643,-79.39864,3.0
1071,2641,Bridge Connector,Nashville,USA,North America,154,2020-11-17,100.0,154,0,Healthcare,Series B,$45,2020,36.16589,-86.78444,45.0
1072,2645,Worksmith,Austin,USA,North America,30,2020-11-09,50.0,60,30,Retail,Unknown,$4,2020,30.26715,-97.74306,4.0
1073,2650,Knotel,New York City,USA,North America,20,2020-10-29,8.0,250,230,Real Estate,Series C,$560,2020,40.71427,-74.00597,560.0
1074,2655,GetYourGuide,Berlin,Germany,Europe,90,2020-10-14,17.0,529,439,Travel,Series E,$656,2020,52.52437,13.41053,656.0
1075,2658,Alto Pharmacy,San Francisco Bay Area,USA,North America,47,2020-09-29,6.0,783,736,Healthcare,Series D,$356,2020,37.77493,-122.41942,356.0
1076,2663,NS8,Las Vegas,USA,North America,240,2020-09-11,95.0,253,13,Data,Series A,$158,2020,36.17497,-115.13722,158.0
1077,2666,Waze,San Francisco Bay Area,USA,North America,30,2020-09-09,5.0,600,570,Transportation,Acquired,$67,2020,37.45383,-122.18219,67.0
1078,2672,GoBear,Singapore,Singapore,Asia,22,2020-09-01,11.0,200,178,Finance,Unknown,$97,2020,1.28967,103.85007,97.0
1079,2673,MakeMyTrip,New Delhi,India,Asia,350,2020-08-31,10.0,3500,3150,Travel,Post-IPO,$548,2020,28.65195,77.23149,548.0
1080,2674,SaleSan Franciscoorce,San Francisco Bay Area,USA,North America,1000,2020-08-26,2.0,50000,49000,Sales,Post-IPO,$65,2020,37.77493,-122.41942,65.0
1081,2679,Docly,London,United Kingdom,Europe,8,2020-08-19,80.0,10,2,Healthcare,Seed,$16,2020,51.50853,-0.12574,16.0
1082,2686,Mozilla,San Francisco Bay Area,USA,North America,250,2020-08-11,25.0,1000,750,Consumer,Unknown,$2,2020,37.77493,-122.41942,2.0
1083,2687,Eatsy,Singapore,Singapore,Asia,20,2020-08-08,100.0,20,0,Food,Seed,$1,2020,1.28967,103.85007,1.0
1084,2688,Glossier,New York City,USA,North America,150,2020-08-07,38.0,395,245,Retail,Series D,$186,2020,40.71427,-74.00597,186.0
1085,2690,Thriver,Toronto,Canada,North America,75,2020-08-06,50.0,150,75,Food,Series B,$53,2020,43.70643,-79.39864,53.0
1086,2693,Buy.com / Rakuten,San Francisco Bay Area,USA,North America,87,2020-07-30,100.0,87,0,Retail,Acquired,$42,2020,37.56299,-122.32553,42.0
1087,2696,Procore,Los Angeles,USA,North America,180,2020-07-28,9.0,2000,1820,Construction,Unknown,$649,2020,34.05223,-118.24368,649.0
1088,2697,Swiggy,Bengaluru,India,Asia,350,2020-07-27,5.0,7000,6650,Food,Series I,$1600,2020,12.97194,77.59369,1600.0
1089,2698,Zeitgold,Berlin,Germany,Europe,75,2020-07-27,72.0,104,29,Finance,Series B,$60,2020,52.52437,13.41053,60.0
1090,2700,Checkr,San Francisco Bay Area,USA,North America,64,2020-07-23,12.0,533,469,HR,Series D,$309,2020,37.77493,-122.41942,309.0
1091,2702,LinkedIn,San Francisco Bay Area,USA,North America,960,2020-07-21,6.0,16000,15040,Recruiting,Acquired,$154,2020,37.36883,-122.03635,154.0
1092,2703,Lighter Capital,Seattle,USA,North America,22,2020-07-20,49.0,45,23,Finance,Series B,$15,2020,47.60621,-122.33207,15.0
1093,2706,Optimizely,San Francisco Bay Area,USA,North America,60,2020-07-15,15.0,400,340,Marketing,Series D,$251,2020,37.77493,-122.41942,251.0
1094,2707,Skyscanner,Edinburgh,United Kingdom,Europe,300,2020-07-14,20.0,1500,1200,Travel,Acquired,$197,2020,55.95206,-3.19648,197.0
1095,2711,Zilingo,Singapore,Singapore,Asia,100,2020-07-09,12.0,833,733,Retail,Series D,$307,2020,1.28967,103.85007,307.0
1096,2719,G2,Chicago,USA,North America,17,2020-06-30,5.0,340,323,Marketing,Series C,$101,2020,41.85003,-87.65005,101.0
1097,2721,Katerra,San Francisco Bay Area,USA,North America,400,2020-06-29,7.0,5714,5314,Construction,Series E,$1300,2020,37.45383,-122.18219,1300.0
1098,2722,Bounce,Bengaluru,India,Asia,130,2020-06-29,22.0,591,461,Transportation,Series D,$214,2020,12.97194,77.59369,214.0
1099,2730,Sonos,New York City,USA,North America,174,2020-06-24,12.0,1450,1276,Consumer,Post-IPO,$455,2020,40.71427,-74.00597,455.0
1100,2732,Gojek,Jakarta,Indonesia,Asia,430,2020-06-23,9.0,4778,4348,Transportation,Series F,$4800,2020,-6.21462,106.84513,4800.0
1101,2733,ScaleFactor,Austin,USA,North America,90,2020-06-23,90.0,100,10,Finance,Series C,$103,2020,30.26715,-97.74306,103.0
1102,2734,Dark,San Francisco Bay Area,USA,North America,6,2020-06-23,100.0,6,0,Product,Seed,$3,2020,37.77493,-122.41942,3.0
1103,2735,Intuit,San Francisco Bay Area,USA,North America,715,2020-06-22,7.0,10214,9499,Finance,Post-IPO,$18,2020,37.38605,-122.08385,18.0
1104,2738,Navi,Bengaluru,India,Asia,40,2020-06-17,25.0,160,120,Finance,Private Equity …,$582,2020,12.97194,77.59369,582.0
1105,2739,PaisaBazaar,Gurugram,India,Asia,1500,2020-06-16,50.0,3000,1500,Finance,Series G,$496,2020,28.4601,77.02635,496.0
1106,2740,Grab,Singapore,Singapore,Asia,360,2020-06-16,5.0,7200,6840,Transportation,Series I,$9900,2020,1.28967,103.85007,9900.0
1107,2741,Splunk,San Francisco Bay Area,USA,North America,70,2020-06-16,1.0,7000,6930,Data,Post-IPO,$40,2020,37.77493,-122.41942,40.0
1108,2742,Redox,Madison,USA,North America,44,2020-06-16,25.0,176,132,Healthcare,Series C,$50,2020,43.07305,-89.40123,50.0
1109,2745,Uber,Amsterdam,Netherlands,Europe,225,2020-06-12,25.0,900,675,Transportation,Post-IPO,24700,2020,52.37403,4.88969,4700.0
1110,2746,SynapseFI,San Francisco Bay Area,USA,North America,63,2020-06-12,48.0,131,68,Finance,Series B,$50,2020,37.77493,-122.41942,50.0
1111,2748,Branch,New York City,USA,North America,3,2020-06-11,27.0,11,8,Retail,Seed,$2,2020,40.71427,-74.00597,2.0
1112,2751,The Athletic,San Francisco Bay Area,USA,North America,46,2020-06-05,8.0,575,529,Media,Series D,$139,2020,37.77493,-122.41942,139.0
1113,2752,Ethos Life,San Francisco Bay Area,USA,North America,18,2020-06-05,14.0,129,111,Finance,Series C,$106,2020,37.77493,-122.41942,106.0
